disease,medcodeid,read,list_disease_real,descr
Alcohol_Misuse,4723831000006118,365,Alcohol problems,Admitted to alcohol detoxification center
Alcohol_Misuse,6841781000006117,365,Alcohol problems,Alcohol consumption counseling
Alcohol_Misuse,1779661000006118,365,Alcohol problems,Alcohol detoxification declined
Alcohol_Misuse,7798471000006110,365,Alcohol problems,Alcohol harm reduction program
Alcohol_Misuse,852381000006110,365,Alcohol problems,Alcohol reduction-maintain abstinence
Alcohol_Misuse,5981291000006110,365,Alcohol problems,Alcohol withdrawal-induced convulsion
Alcohol_Misuse,886501000006115,365,Other alcohol problems,Alcoholic liver damage NOS
Alcohol_Misuse,2885451000006111,365,Alcohol problems,Alcoholism counseling
Alcohol_Misuse,6841791000006119,365,Alcohol problems,Counseling about alcohol consumption
Alcohol_Misuse,8197801000006118,365,Alcohol problems,Counselling about alcohol by other agencies
Alcohol_Misuse,6841801000006118,365,Alcohol problems,Counselling about alcohol consumption
Alcohol_Misuse,3545831000006115,365,Alcohol problems,Detoxication psychiatric therapy for alcoholism
Alcohol_Misuse,3545841000006113,365,Alcohol problems,Detoxication therapy for alcoholism
Alcohol_Misuse,940781000006116,365,Alcohol problems,Evidence of alcohol withdrawal
Alcohol_Misuse,1878791000006112,365,Alcohol problems,In-house alcohol detoxification
Alcohol_Misuse,1973871000006116,365,Alcohol problems,"Mental and behav dis due to use alcohol: dependence syndr, currently on a clinically supervised maintenance or replacement regime [controlled dependence]"
Alcohol_Misuse,1974191000006110,365,Alcohol problems,"Mental and behav dis due to use alcohol: withdrawal state, uncomplicated"
Alcohol_Misuse,1974231000006117,365,Alcohol problems,"Mental and behav dis due to use alcohol: withdrawal state, with convulsions"
Alcohol_Misuse,852391000006113,365,Alcohol problems,Not interested in reducing alcohol
Alcohol_Misuse,3122331000006110,365,Alcohol problems,Patient referral for alcoholism rehabilitation
Alcohol_Misuse,852401000006110,365,Alcohol problems,Ready to start reducing alcohol
Alcohol_Misuse,1957791000006115,365,Alcohol problems,Reduced alcohol intake
Alcohol_Misuse,1675391000006112,365,Alcohol problems,Referral by community alcohol team
Alcohol_Misuse,831091000006115,365,Alcohol problems,Referral to alcohol abuse team
Alcohol_Misuse,831101000006114,365,Alcohol problems,Referral to alcohol counsellor
Alcohol_Misuse,851931000006116,365,Alcohol problems,Referral to alcohol recovery project
Alcohol_Misuse,852411000006113,365,Alcohol problems,Thinking about reducing alcohol
Alcohol_Misuse,3890681000006118,365,Alcohol problems,Uncomplicated alcohol withdrawal
Alcohol_Misuse,1806211000006115,365,Alcohol problems,Unsuccessful attempts to reduce alcohol consumption
Alcohol_Misuse,7785371000006113,365,Alcohol problems,Withdrawn from alcohol detoxification program
Alcohol_Misuse,12456651000006116,365,Alcohol problems,[v]alcohol rehabilitation
Alcohol_Misuse,12721711000006110,365,Other alcohol problems,alcoholic liver damage unspecified
Alcohol_Misuse,2626141000006112,365,Alcohol problems,alcoholic polyneuropathy
Alcohol_Misuse,11922951000006112,365,Alcohol problems,alcoholic psychoses
Alcohol_Misuse,2614651000006115,365,Alcohol problems,alcoholism
Alcohol_Misuse,12730491000006116,365,Alcohol problems,other alcoholic psychosis
Alcohol_Misuse,299061000000117,365,Alcohol problems,Hazardous alcohol use
Alcohol_Misuse,299081000000114,365,Alcohol problems,Harmful alcohol use
Alcohol_Misuse,606991000000117,365,Alcohol problems,Alcohol misuse
Alcohol_Misuse,251195015,365,Alcohol problems,Alcoholics anonymous
Alcohol_Misuse,2549849017,365,Alcohol problems,Alcohol induced hallucinations
Alcohol_Misuse,2474678017,365,Alcohol problems,Alcohol disorder monitoring
Alcohol_Misuse,405461000000114,365,Alcohol problems,Alcohol abuse monitoring
Alcohol_Misuse,371501000000110,365,Alcohol problems,Delivery of rehabilitation for alcohol addiction
Alcohol_Misuse,106878015,365,Alcohol problems,Alcohol detoxification
Alcohol_Misuse,739501000000112,365,Alcohol problems,Advised to contact primary care alcohol worker
Alcohol_Misuse,283451018,365,Alcohol problems,Aversion therapy - alcoholism
Alcohol_Misuse,283559019,365,Alcohol problems,Admitted to alcohol detoxification centre
Alcohol_Misuse,1484890014,365,Alcohol problems,Referral to community alcohol team
Alcohol_Misuse,622961000000116,365,Alcohol problems,Referral to specialist alcohol treatment service
Alcohol_Misuse,740641000000115,365,Alcohol problems,Referral to alcohol brief intervention service
Alcohol_Misuse,216585018,365,Alcohol problems,Under care of community alcohol team
Alcohol_Misuse,236441000000113,365,Alcohol problems,Alcohol misuse - enhanced services administration
Alcohol_Misuse,226571000000116,365,Alcohol problems,Alcohol misuse - enhanced service completed
Alcohol_Misuse,1680121000006110,365,Alcohol problems,Brief intervention for excessive alcohol consumptn completed
Alcohol_Misuse,1680131000006113,365,Alcohol problems,Extended intervention for excessive alcohol consumptn complt
Alcohol_Misuse,356292013,365,Alcohol problems,Alcohol-induced pseudo-Cushing's syndrome
Alcohol_Misuse,59951000006113,365,Alcohol problems,Wernicke's encephalopathy
Alcohol_Misuse,35314011,365,Alcohol problems,Wernicke's encephalopathy
Alcohol_Misuse,476741000006111,365,Alcohol problems,Alcoholic psychoses
Alcohol_Misuse,15243013,365,Alcohol problems,Alcohol withdrawal delirium
Alcohol_Misuse,507053019,365,Alcohol problems,DTs - delirium tremens
Alcohol_Misuse,15244019,365,Alcohol problems,Delirium tremens
Alcohol_Misuse,476361000006114,365,Alcohol problems,Alcohol amnestic syndrome
Alcohol_Misuse,753331000006118,365,Alcohol problems,Korsakov's alcoholic psychosis
Alcohol_Misuse,294662017,365,Alcohol problems,Korsakov's alcoholic psychosis with peripheral neuritis
Alcohol_Misuse,501294012,365,Alcohol problems,Wernicke-Korsakov syndrome
Alcohol_Misuse,294664016,365,Alcohol problems,Alcohol amnestic syndrome NOS
Alcohol_Misuse,401760017,365,Alcohol problems,Other alcoholic dementia
Alcohol_Misuse,346929012,365,Alcohol problems,Alcoholic dementia NOS
Alcohol_Misuse,294668018,365,Alcohol problems,Chronic alcoholic brain syndrome
Alcohol_Misuse,294669014,365,Alcohol problems,Alcohol withdrawal hallucinosis
Alcohol_Misuse,294672019,365,Alcohol problems,Alcoholic paranoia
Alcohol_Misuse,294673012,365,Alcohol problems,Other alcoholic psychosis
Alcohol_Misuse,294674018,365,Alcohol problems,Alcohol withdrawal syndrome
Alcohol_Misuse,294675017,365,Alcohol problems,Other alcoholic psychosis NOS
Alcohol_Misuse,294676016,365,Alcohol problems,Alcoholic psychosis NOS
