ICD10code,list_disease_real,disease_duration
E24.4,Alcohol problems,365
F10.1,Alcohol problems,365
F10.2,Alcohol problems,365
F10.3,Alcohol problems,365
F10.4,Alcohol problems,365
F10.5,Alcohol problems,365
F10.6,Alcohol problems,365
F10.7,Alcohol problems,365
F10.8,Alcohol problems,365
F10.9,Alcohol problems,365
G31.2,Alcohol problems,365
G62.1,Alcohol problems,365
G72.1,Alcohol problems,365
I42.6,Alcohol problems,365
K29.2,Alcohol problems,365
K85.2,Alcohol problems,365
K86.0,Alcohol problems,365
Z50.2,Alcohol problems,365
Z71.4,Alcohol problems,365
NA,Other alcohol problems,365
K70.0,Chronic liver disease,9999999
K70.1,Chronic liver disease,9999999
K70.2,Chronic liver disease,9999999
K70.3,Chronic liver disease,9999999
K70.4,Chronic liver disease,9999999
K70.5,Chronic liver disease,9999999
K70.6,Chronic liver disease,9999999
K70.7,Chronic liver disease,9999999
K70.8,Chronic liver disease,9999999
K70.9,Chronic liver disease,9999999
K70,Chronic liver disease,9999999
K74.3,Chronic liver disease,9999999
K75.4,Chronic liver disease,9999999
K75.8,Chronic liver disease,9999999
K76.0,Chronic liver disease,9999999
B15.0,Chronic liver disease,9999999
B16.0,Chronic liver disease,9999999
B19.0,Chronic liver disease,9999999
K71.1,Chronic liver disease,9999999
K72.0,Chronic liver disease,9999999
K72.1,Chronic liver disease,9999999
K72.2,Chronic liver disease,9999999
K72.3,Chronic liver disease,9999999
K72.4,Chronic liver disease,9999999
K72.5,Chronic liver disease,9999999
K72.6,Chronic liver disease,9999999
K72.7,Chronic liver disease,9999999
K72.8,Chronic liver disease,9999999
K72.9,Chronic liver disease,9999999
K72,Chronic liver disease,9999999
K76.2,Chronic liver disease,9999999
K76.3,Chronic liver disease,9999999
F40.0,Anxiety,365
F40.1,Anxiety,365
F40.2,Anxiety,365
F40.3,Anxiety,365
F40.4,Anxiety,365
F40.5,Anxiety,365
F40.6,Anxiety,365
F40.7,Anxiety,365
F40.8,Anxiety,365
F40.9,Anxiety,365
F40,Anxiety,365
F41.0,Anxiety,365
F41.1,Anxiety,365
F41.2,Anxiety,365
F41.3,Anxiety,365
F41.4,Anxiety,365
F41.5,Anxiety,365
F41.6,Anxiety,365
F41.7,Anxiety,365
F41.8,Anxiety,365
F41.9,Anxiety,365
F41,Anxiety,365
F40.0,Depression_anxiety,365
F40.1,Depression_anxiety,365
F40.2,Depression_anxiety,365
F40.3,Depression_anxiety,365
F40.4,Depression_anxiety,365
F40.5,Depression_anxiety,365
F40.6,Depression_anxiety,365
F40.7,Depression_anxiety,365
F40.8,Depression_anxiety,365
F40.9,Depression_anxiety,365
F40,Depression_anxiety,365
F41.0,Depression_anxiety,365
F41.1,Depression_anxiety,365
F41.2,Depression_anxiety,365
F41.3,Depression_anxiety,365
F41.4,Depression_anxiety,365
F41.5,Depression_anxiety,365
F41.6,Depression_anxiety,365
F41.7,Depression_anxiety,365
F41.8,Depression_anxiety,365
F41.9,Depression_anxiety,365
F41,Depression_anxiety,365
F32.0,Depression_anxiety,365
F32.1,Depression_anxiety,365
F32.2,Depression_anxiety,365
F32.3,Depression_anxiety,365
F32.4,Depression_anxiety,365
F32.5,Depression_anxiety,365
F32.6,Depression_anxiety,365
F32.7,Depression_anxiety,365
F32.8,Depression_anxiety,365
F32.9,Depression_anxiety,365
F32,Depression_anxiety,365
F33.0,Depression_anxiety,365
F33.1,Depression_anxiety,365
F33.2,Depression_anxiety,365
F33.3,Depression_anxiety,365
F33.4,Depression_anxiety,365
F33.5,Depression_anxiety,365
F33.6,Depression_anxiety,365
F33.7,Depression_anxiety,365
F33.8,Depression_anxiety,365
F33.9,Depression_anxiety,365
F33,Depression_anxiety,365
J45.0,Asthma,365
J45.1,Asthma,365
J45.2,Asthma,365
J45.3,Asthma,365
J45.4,Asthma,365
J45.5,Asthma,365
J45.6,Asthma,365
J45.7,Asthma,365
J45.8,Asthma,365
J45.9,Asthma,365
J45,Asthma,365
J46.0,Asthma,365
J46.1,Asthma,365
J46.2,Asthma,365
J46.3,Asthma,365
J46.4,Asthma,365
J46.5,Asthma,365
J46.6,Asthma,365
J46.7,Asthma,365
J46.8,Asthma,365
J46.9,Asthma,365
J46,Asthma,365
I48.0,Atrial fibrillation,9999999
I48.1,Atrial fibrillation,9999999
I48.2,Atrial fibrillation,9999999
I48.3,Atrial fibrillation,9999999
I48.4,Atrial fibrillation,9999999
I48.5,Atrial fibrillation,9999999
I48.6,Atrial fibrillation,9999999
I48.7,Atrial fibrillation,9999999
I48.8,Atrial fibrillation,9999999
I48.9,Atrial fibrillation,9999999
I48,Atrial fibrillation,9999999
F30.0,Psychosis,9999999
F30.1,Psychosis,9999999
F30.2,Psychosis,9999999
F30.3,Psychosis,9999999
F30.4,Psychosis,9999999
F30.5,Psychosis,9999999
F30.6,Psychosis,9999999
F30.7,Psychosis,9999999
F30.8,Psychosis,9999999
F30.9,Psychosis,9999999
F30,Psychosis,9999999
F31.0,Psychosis,9999999
F31.1,Psychosis,9999999
F31.2,Psychosis,9999999
F31.3,Psychosis,9999999
F31.4,Psychosis,9999999
F31.5,Psychosis,9999999
F31.6,Psychosis,9999999
F31.7,Psychosis,9999999
F31.8,Psychosis,9999999
F31.9,Psychosis,9999999
F31,Psychosis,9999999
J40.0,COPD,9999999
J40.1,COPD,9999999
J40.2,COPD,9999999
J40.3,COPD,9999999
J40.4,COPD,9999999
J40.5,COPD,9999999
J40.6,COPD,9999999
J40.7,COPD,9999999
J40.8,COPD,9999999
J40.9,COPD,9999999
J40,COPD,9999999
J41.0,COPD,9999999
J41.1,COPD,9999999
J41.2,COPD,9999999
J41.3,COPD,9999999
J41.4,COPD,9999999
J41.5,COPD,9999999
